        Vehicle ID:	p1B3CC4FB0AN22533
    Current Status:	a
   Max. Passengers:	56

        Vehicle ID:	p1FMEU7DE6AUA7588
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2011/2/22
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMEU7DE9AUA9272
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2011/8/27
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMEU7EE7AUA5965
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2006/4/2
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1FMEU7EE8AUB1531
        Make/Model:	Dodge Journey
   Last Inspection:	2014/1/15
    Current Status:	s

        Vehicle ID:	i1FMFK15578LA5101
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/7/6
    Current Status:	a

        Vehicle ID:	p1FMFK16527LA9786
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2016/12/27
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	i1FMFK16598LA7546
        Make/Model:	Dodge Challenger
   Last Inspection:	2011/9/1
    Current Status:	m

        Vehicle ID:	p1FMFK18508LA4006
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2008/6/13
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	c1FMFK18567LA0624
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2012/7/17
    Current Status:	m
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMFK18577LA0986
        Make/Model:	Ford  EcoSport
   Last Inspection:	2016/10/3
    Current Status:	s

        Vehicle ID:	c1FMFK19518LA6990
        Make/Model:	Ford  F 250
   Last Inspection:	2016/9/21
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1FMFK20507LA4000
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2011/10/28
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1FMFK20517LA9115
        Make/Model:	Chevrolet Impala
   Last Inspection:	2015/12/25
    Current Status:	s

        Vehicle ID:	p1FMFK20567LA4958
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2016/11/1
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1FMFK20578LA5336
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2012/8/24
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	p1FMFU15578LA5257
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2007/5/6
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMFU16507LA9236
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/4/8
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	c1FMFU16516LA8365
        Make/Model:	Ford  F 250
   Last Inspection:	2006/10/14
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1FMFU16517LA3549
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2011/7/14
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	i1FMFU16527LA3644
        Make/Model:	Ford  Mustang
   Last Inspection:	2014/10/21
    Current Status:	s

        Vehicle ID:	p1FMFU16545LA0803
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2010/2/27
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1FMFU16568LA2691
        Make/Model:	Dodge Demon
   Last Inspection:	2006/1/8
    Current Status:	a

        Vehicle ID:	p1FMFU16585LA4919
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2007/2/13
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMFU16588LA7239
        Make/Model:	Ford  F 250
   Last Inspection:	2009/11/11
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1FMFU16L24LB0763
        Make/Model:	Ford  Explorer
   Last Inspection:	2008/10/25
    Current Status:	s

        Vehicle ID:	c1FMFU16L43LA8354
        Make/Model:	Chevrolet Cargo Express
   Last Inspection:	2008/3/27
    Current Status:	a
      Max. Payload:	2.33 tons

        Vehicle ID:	p1FMFU16L93LB8988
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2009/7/20
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1FMFU16LX3LA1316
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/12/18
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	p1FMFU16W14LB0874
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2006/3/23
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMFU17558LA1672
        Make/Model:	Ford  F 150
   Last Inspection:	2009/10/9
    Current Status:	s
      Max. Payload:	3.04 tons

        Vehicle ID:	p1FMFU17585LA4467
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2014/4/2
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1FMFU18505LA4040
        Make/Model:	Ford  Focus
   Last Inspection:	2009/2/25
    Current Status:	s

        Vehicle ID:	c1FMFU18505LA4040
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2012/10/5
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1FMFU18515LA3518
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2009/11/18
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMFU18515LA8509
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2011/2/7
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMFU18517LA2462
        Make/Model:	Ford  Explorer
   Last Inspection:	2014/2/13
    Current Status:	a

        Vehicle ID:	p1FMFU18525LA3887
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2014/11/9
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1FMFU18538LA0416
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/4/3
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMFU18555LA5500
        Make/Model:	Ford  EcoSport
   Last Inspection:	2012/7/19
    Current Status:	s

        Vehicle ID:	i1FMFU185X6LA0658
        Make/Model:	Dodge Demon
   Last Inspection:	2013/11/14
    Current Status:	s

        Vehicle ID:	c1FMFU18L04LB2942
        Make/Model:	Ford  Super Duty 450 XL
   Last Inspection:	2006/6/10
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	c1FMFU18L04LB3692
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/7/13
    Current Status:	m
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMFU18L04LB9028
        Make/Model:	Dodge Demon
   Last Inspection:	2013/4/4
    Current Status:	a

        Vehicle ID:	i1FMFU18L13LA8638
        Make/Model:	Chevrolet Impala
   Last Inspection:	2013/9/5
    Current Status:	s

        Vehicle ID:	c1FMFU18L23LB8098
        Make/Model:	Ford  F 250
   Last Inspection:	2007/2/15
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1FMFU18L2VLA9408
        Make/Model:	Dodge Demon
   Last Inspection:	2007/9/6
    Current Status:	m

        Vehicle ID:	c1FMFU18L2YLA9916
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2010/9/1
    Current Status:	a
      Max. Payload:	2.33 tons

        Vehicle ID:	p1FMFU18L41LB5900
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2015/9/27
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMFU18L43LA5820
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2006/5/10
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	c1FMFU18L43LC4865
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/5/5
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMFU18L4VLB0701
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2007/10/13
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	c1FMFU18L4VLC3322
        Make/Model:	Ford  F 250
   Last Inspection:	2010/10/7
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1FMFU18L51LA8025
        Make/Model:	Dodge Demon
   Last Inspection:	2008/5/5
    Current Status:	s

        Vehicle ID:	i1FMFU18L5VLB3100
        Make/Model:	Chevrolet Impala
   Last Inspection:	2012/11/3
    Current Status:	s

        Vehicle ID:	c1FMFU18L63LA8710
        Make/Model:	Ford  F 150
   Last Inspection:	2013/7/3
    Current Status:	s
      Max. Payload:	3.04 tons

        Vehicle ID:	p1FMFU18L64LA9768
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2010/2/11
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMFU18L6VLA7972
        Make/Model:	International IC-RE
   Last Inspection:	2013/1/5
    Current Status:	s
   Max. Passengers:	84

        Vehicle ID:	c1FMFU18L73LB8139
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2014/11/19
    Current Status:	m
      Max. Payload:	1.53 tons

        Vehicle ID:	p1FMFU18L73LC3152
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2006/3/6
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	i1FMFU18L74LB0321
        Make/Model:	Ford  Mustang
   Last Inspection:	2017/1/19
    Current Status:	s

        Vehicle ID:	c1FMFU18L83LA5127
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2008/8/26
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p1FMFU18L93LB3816
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2008/5/27
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1FMFU18L94LB0322
        Make/Model:	Ford  F 150
   Last Inspection:	2011/8/11
    Current Status:	s
      Max. Payload:	3.04 tons

        Vehicle ID:	i1FMFU18L94LB2787
        Make/Model:	Chevrolet Impala
   Last Inspection:	2017/2/4
    Current Status:	s

        Vehicle ID:	i1FMFU18LO2LA0333
        Make/Model:	Ford  Explorer
   Last Inspection:	2008/9/17
    Current Status:	a

        Vehicle ID:	p1FMFU18LX3LB7493
        Make/Model:	Temsa TS45
   Last Inspection:	2017/6/2
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	c1FMFU18LX4LB1262
        Make/Model:	Ford  F 250
   Last Inspection:	2007/12/7
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1FMFU20506LA7706
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/11/10
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMFU20536LA0474
        Make/Model:	Ford  Explorer
   Last Inspection:	2012/4/3
    Current Status:	s

        Vehicle ID:	p1FMFU20565LA0833
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2013/11/8
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	p1FMFU20567LA1031
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2017/11/2
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1FMFU20567LA3781
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2011/9/15
    Current Status:	s

        Vehicle ID:	c1FMFU20585LA5648
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2007/8/5
    Current Status:	a
      Max. Payload:	2.33 tons

        Vehicle ID:	c1FMFU20585LA5648
        Make/Model:	Ford  F 250
   Last Inspection:	2011/9/22
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1FMGK2A50CEF6612
        Make/Model:	Chevrolet Impala
   Last Inspection:	2014/12/5
    Current Status:	a

        Vehicle ID:	p1FMHK7B88CGA9377
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2009/1/5
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1FMHK7B97CGA0758
        Make/Model:	Ford  F 250
   Last Inspection:	2016/7/3
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1FMHK7D81BGA7183
        Make/Model:	Ford  Mustang
   Last Inspection:	2007/12/28
    Current Status:	m

        Vehicle ID:	p1FMHK7D84BGA7905
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2013/7/26
    Current Status:	m
   Max. Passengers:	7

        Vehicle ID:	i1FMHK7D88BGA8601
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2013/1/15
    Current Status:	s

        Vehicle ID:	i1FMHK7D9XCGA0334
        Make/Model:	Dodge Demon
   Last Inspection:	2015/6/28
    Current Status:	s

        Vehicle ID:	i1FMHK7F83CGA6365
        Make/Model:	Ford  Mustang
   Last Inspection:	2014/6/28
    Current Status:	s

        Vehicle ID:	i1FMHK7F98CGA8117
        Make/Model:	Ford  Mustang
   Last Inspection:	2013/10/11
    Current Status:	s

        Vehicle ID:	c1FMHK88868GA5419
        Make/Model:	Ford  F 150
   Last Inspection:	2014/12/15
    Current Status:	m
      Max. Payload:	3.04 tons

        Vehicle ID:	i1FMHK8B85CGA4940
        Make/Model:	Dodge Challenger
   Last Inspection:	2012/2/23
    Current Status:	a

        Vehicle ID:	p1FMHK8D80BGA7081
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2008/7/19
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMHK8D82CGA9013
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2014/12/3
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	p1FMHK8D87CGA5290
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2016/11/6
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMHK8D89BGA7477
        Make/Model:	Ford  F 250
   Last Inspection:	2017/1/27
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	c1FMHK8D89CGA7766
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2015/10/26
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMHK8D8XBGA5283
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2015/11/5
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	c1FMHK8F86CGA9808
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2013/9/10
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMJK1G58EEF2394
        Make/Model:	Chevrolet Cargo Express
   Last Inspection:	2010/12/26
    Current Status:	m
      Max. Payload:	2.33 tons

        Vehicle ID:	c1FMJK1GT3GEF5037
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/12/1
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMJK1HT1HEA6107
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/2/8
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMJK1J50CEF4139
        Make/Model:	Ford  Mustang
   Last Inspection:	2010/11/15
    Current Status:	a

        Vehicle ID:	c1FMJK1J52DEF1815
        Make/Model:	Ford  F 250
   Last Inspection:	2016/9/26
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1FMJK1J53BEF1865
        Make/Model:	Dodge Challenger
   Last Inspection:	2006/6/9
    Current Status:	s

        Vehicle ID:	p1FMJK1J57DEF1507
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2014/9/18
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMJK1J58AEA4826
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2013/5/10
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1FMJK1J58CEF1304
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/10/6
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMJK1JT0GEF1071
        Make/Model:	Chevrolet Silverado 2500
   Last Inspection:	2015/7/11
    Current Status:	a
      Max. Payload:	1.62 tons

        Vehicle ID:	p1FMJK1JT2FEF2225
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2016/8/18
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMJK1JT6FEF1186
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/8/13
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMJK1JT8FEF4335
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2014/6/19
    Current Status:	s
      Max. Payload:	2.04 tons

        Vehicle ID:	c1FMJK2A54AEB7180
        Make/Model:	Ford  F 250
   Last Inspection:	2010/5/16
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1FMJK2A56CEF0897
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2011/10/10
    Current Status:	a
      Max. Payload:	3.82 tons

        Vehicle ID:	c1FMJK2A58BEF1079
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2015/6/16
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p1FMJK2A58EEF2388
        Make/Model:	Temsa TS45
   Last Inspection:	2017/7/5
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	c1FMJK2A59EEF6141
        Make/Model:	Chevrolet Silverado 2500
   Last Inspection:	2010/5/4
    Current Status:	s
      Max. Payload:	1.62 tons

        Vehicle ID:	p1FMJK2ASXCEF1240
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2011/9/28
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	p1FMJK2AT0GEF5247
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2012/1/10
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMJK2AT1HEA8153
        Make/Model:	Chevrolet Silverado 2500
   Last Inspection:	2009/3/10
    Current Status:	s
      Max. Payload:	1.62 tons

        Vehicle ID:	i1FMJK2AT2FEF4006
        Make/Model:	Ford  Mustang
   Last Inspection:	2008/12/7
    Current Status:	s

        Vehicle ID:	c1FMJK2AT6HEA6860
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/3/5
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1FMJK2AT7HEA5615
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/9/23
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMJK2AT9HEA6879
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2012/3/18
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1FMJU1G51BEF3334
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2009/12/26
    Current Status:	s

        Vehicle ID:	c1FMJU1G51BEF4917
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2014/12/21
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	c1FMJU1G57CEF2752
        Make/Model:	Chevrolet Silverado 2500
   Last Inspection:	2006/8/15
    Current Status:	s
      Max. Payload:	1.62 tons

        Vehicle ID:	p1FMJU1G580EF4167
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2010/12/18
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	c1FMJU1G59AEB6617
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2010/5/24
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMJU1G59CEF4187
        Make/Model:	Ford  Focus
   Last Inspection:	2010/6/5
    Current Status:	s

        Vehicle ID:	i1FMJU1GT2GEF2110
        Make/Model:	Chevrolet Impala
   Last Inspection:	2010/7/21
    Current Status:	s

        Vehicle ID:	i1FMJU1GT4FEF3423
        Make/Model:	Ford  Mustang
   Last Inspection:	2006/1/9
    Current Status:	m

        Vehicle ID:	i1FMJU1GT8GEF4637
        Make/Model:	Chevrolet Impala
   Last Inspection:	2012/10/1
    Current Status:	s

        Vehicle ID:	i1FMJU1H50CEF0610
        Make/Model:	Ford  Focus
   Last Inspection:	2007/6/3
    Current Status:	a

        Vehicle ID:	c1FMJU1J51BEF4023
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2013/11/14
    Current Status:	a
      Max. Payload:	3.82 tons

        Vehicle ID:	i1FMJU1J51CEF1306
        Make/Model:	Chevrolet Impala
   Last Inspection:	2010/10/20
    Current Status:	m

        Vehicle ID:	i1FMJU1J53DEF6336
        Make/Model:	Ford  Mustang
   Last Inspection:	2015/5/17
    Current Status:	s

        Vehicle ID:	c1FMJU1J55BEF2370
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2012/4/2
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMJU1J56BEF0613
        Make/Model:	Ford  F 250
   Last Inspection:	2016/7/14
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1FMJU1J56DEF5954
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2010/3/11
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1FMJU1J5XBEF2025
        Make/Model:	Ford  Super Duty 450 XL
   Last Inspection:	2011/11/25
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	p1FMJU1J5XBEF4396
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2012/7/6
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1FMJU1JT2HEA0216
        Make/Model:	Ford  Focus
   Last Inspection:	2015/3/6
    Current Status:	s

        Vehicle ID:	i1FMJU1JT7HEA6826
        Make/Model:	Dodge Charger
   Last Inspection:	2010/7/18
    Current Status:	s

        Vehicle ID:	c1FMJU1JTXGEF1302
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2014/11/15
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1FMJU1MT9JEA0336
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2007/1/4
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1FMJU2A58AEA4286
        Make/Model:	Chevrolet Impala
   Last Inspection:	2008/11/19
    Current Status:	s

        Vehicle ID:	c1FMJU2AT3GEF1438
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/5/23
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	p1FMJU2AT7FEF3317
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2016/8/14
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	c1FMNE1BW1BDB1939
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/11/24
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1FMNU40L62EA5162
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2012/11/23
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMNU41L14EC7641
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2012/3/11
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMNU41L83EB1209
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/5/23
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1FMNU43S0YEB8485
        Make/Model:	Ford  Mustang
   Last Inspection:	2016/4/14
    Current Status:	s

        Vehicle ID:	i1FMNU43S4YED2787
        Make/Model:	Ford  Explorer
   Last Inspection:	2007/8/10
    Current Status:	s

        Vehicle ID:	c1FMNU43S5YEB8576
        Make/Model:	Ford  F 150
   Last Inspection:	2010/12/2
    Current Status:	a
      Max. Payload:	3.04 tons

        Vehicle ID:	p1FMNU45SX5EB4478
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2012/4/9
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMPU13545LA6119
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2017/12/28
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1FMPU14595LA6160
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2007/2/25
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1FMPU15576LA2806
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2016/7/3
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1FMPU15L03LB5858
        Make/Model:	Ford  F 150
   Last Inspection:	2013/9/16
    Current Status:	m
      Max. Payload:	3.04 tons

        Vehicle ID:	p1FMPU16505LA1664
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2013/3/23
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMPU16516LA9762
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2013/12/25
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p1FMPU16526LA0448
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2008/11/23
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	p1FMPU16526LA5827
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2008/12/18
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1FMPU16545LB0627
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2013/3/3
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1FMPU16546LA4926
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2011/2/23
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1FMPU16565LB1219
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2016/10/28
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1FMPU16585LB0690
        Make/Model:	Ford  Mustang
   Last Inspection:	2015/1/14
    Current Status:	s

        Vehicle ID:	p1FMPU165X6LA1504
        Make/Model:	International IC-RE
   Last Inspection:	2010/12/13
    Current Status:	a
   Max. Passengers:	84

        Vehicle ID:	i1FMPU16L13LC1427
        Make/Model:	Ford  Mustang
   Last Inspection:	2012/1/4
    Current Status:	s

        Vehicle ID:	c1FMPU16L24LB4615
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2016/7/27
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	c1FMPU16L2YLB3735
        Make/Model:	Ford  F 250
   Last Inspection:	2007/1/18
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	p1FMPU16L41LB5411
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2016/12/5
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1FMPU16L44LB6424
        Make/Model:	Ford  F 150
   Last Inspection:	2013/10/10
    Current Status:	m
      Max. Payload:	3.04 tons

        Vehicle ID:	c1FMPU16L53LC4895
        Make/Model:	Ford  F 250
   Last Inspection:	2013/11/11
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1FMPU16L54LA6666
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2007/4/10
    Current Status:	m

        Vehicle ID:	i1FMPU16L72LA8472
        Make/Model:	Dodge Challenger
   Last Inspection:	2010/5/11
    Current Status:	s

        Vehicle ID:	i1FMPU16L74LA3971
        Make/Model:	Ford  Mustang
   Last Inspection:	2007/10/12
    Current Status:	s

        Vehicle ID:	i1FMPU16W03LB9525
        Make/Model:	Dodge Demon
   Last Inspection:	2006/5/28
    Current Status:	s

        Vehicle ID:	i1FMPU16W63LC2432
        Make/Model:	Ford  Mustang
   Last Inspection:	2014/10/21
    Current Status:	a

        Vehicle ID:	p1FMPU16W64LA4694
        Make/Model:	Temsa TS45
   Last Inspection:	2017/6/13
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	p1FMPU16W74LA7950
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2007/6/27
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1FMPU16W93LC1662
        Make/Model:	Chevrolet Impala
   Last Inspection:	2010/6/27
